"";"Склад";"Тип";"Номер";"Име на материал";"Мярка";"Наличност";"Средна покупна цена";"Стойност по средна доставна цена";"Последна покупна цена";"Продажна цена";"Сума пр.цени";"Среден % надценка";"Основен доставчик";"Основен доставчик - обект";"Основен доставчик - лице за контакт";"Производител";"Блокиран";"Дата на последна промяна";"Спецификация";"Средна покупна цена без ДДС";"Последна покупна цена без ДДС";"Вид на продукта";"Промоции";"Договорена покупна цена";"Договорена покупна цена % то";"Договорена покупна цена от дата";"Договорена покупна цена до дата";"Последен доставчик";"Последен доставчик Oбект";"Последен доставчик Лице за контакт";"Алтернативен доставчик";"Алтернативен доставчик Oбект";"Алтернативен доставчик Лице за контакт";"Баркод";"Категории"
"Грешно";"Склад";"Материал";"22";"Кабел мрежов CAT 5e F/UTP 24 AWG мед 0,51 кашон 305m";"метър";"0.000";"0.64";"0";"0.64";"0.9";"0";"40.62";"";"";"";"";"не";"06.04.2024  21:36:18";"";"0.53";"0.53";"";"0";"";"";"";"";"СисТех България ООД";"";"";"";"";"";"";"Кабели"
"Грешно";"Склад";"Материал";"23";"Кабел ШВПЛ 2*0.75";"броя";"0.000";"0";"0";"0";"0.9";"0";"";"";"";"";"";"не";"06.04.2024  21:36:16";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Кабели"
"Грешно";"Склад";"Материал";"26";"Такса СИМ карти НАП Датекс 6 месеца";"броя";"0.000";"42";"0";"42";"72";"0";"71.42";"";"";"";"";"не";"01.03.2025  16:33:25";"";"35";"35";"";"0";"";"";"";"";"ДАТЕКС ООД";"";"";"";"";"";"";"Договори подръжка"
"Грешно";"Склад";"Материал";"29";"Фискален мобилен принтер Daisy FX21 01";"броя";"0.000";"0";"0";"0";"346.8";"0";"";"";"";"";"";"не";"28.07.2023  15:49:05";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Фискални принтери"
"Грешно";"Склад";"Материал";"30";"Т57/35 термохартиени ролки";"броя";"0.000";"0.59";"0";"0.59";"0.9";"0";"52.54";"";"";"";"";"не";"21.07.2022  11:38:54";"";"0.49";"0.49";"";"0";"";"";"";"";"ЕЛТРЕЙД ООД";"";"";"";"";"";"";"Ролки"
"Грешно";"Склад";"Материал";"32";"SUPREMO 12 МЕСЕЦА-бизнес потребител- едновременни сесии";"броя";"0.000";"364";"0";"364";"390";"0";"7.14";"";"";"";"";"не";"06.04.2024  21:26:16";"";"303.33";"303.33";"";"0";"";"";"";"";"МИСТРАЛ СОФТУЕР  ЕООД";"";"";"";"";"";"";"Софтуер"
"Грешно";"Склад";"Материал";"33";"Касов апарат Daisy eXpert SX/01 стационарен";"броя";"0.000";"0";"0";"0";"274.8";"0";"";"";"";"";"";"не";"28.07.2023  15:53:06";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Касови апарати"
"Грешно";"Склад";"Материал";"34";"HP COMPAQ 8300 ELITE SFF";"броя";"0.000";"290";"0";"290";"430";"0";"48.27";"";"";"";"";"не";"06.04.2024  21:26:15";"";"241.67";"241.67";"";"0";"";"";"";"";"РИЪЛ ВИЖЪН ИТ ЕООД";"";"";"";"";"";"";"Компютри втора употр"
"Грешно";"Склад";"Материал";"35";"WINDOWS 10 PRO 32/64BIT REFURB MAR";"броя";"0.000";"0";"0";"0";"0";"0";"";"";"";"";"";"не";"";"";"0";"0";"";"0";"";"";"";"";"РИЪЛ ВИЖЪН ИТ ЕООД";"";"";"";"";"";"";"MICROSOFT"
"Грешно";"Склад";"Материал";"36";"SSD 120GB KINGSTON A400";"броя";"0.000";"0";"0";"0";"0";"0";"";"";"";"";"";"не";"02.04.2024  17:51:00";"";"0";"0";"";"0";"";"";"";"";"РИЪЛ ВИЖЪН ИТ ЕООД";"";"";"";"";"";"";"ХАРД ДИСКОВЕ"
"Грешно";"Склад";"Материал";"40";"Етикети 56*25-660 ЕТ/Р";"броя";"0.000";"1.92";"0";"1.92";"3.4";"0";"77.08";"";"";"";"";"не";"06.04.2024  21:36:15";"";"1.6";"1.6";"";"0";"";"";"";"";"ДИЛКОМ БЪЛГАРИЯ ООД";"";"";"";"";"";"";"Етикети"
"Грешно";"Склад";"Материал";"41";"Карти бели с магнитен запис";"броя";"0.000";"0.6";"0";"0.6";"1.3";"0";"116.66";"";"";"";"";"не";"02.04.2024  17:51:00";"";"0.5";"0.5";"";"0";"";"";"";"";"Комитекс оод";"";"";"";"";"";"";"Карти"
"Грешно";"Склад";"Материал";"42";"Компютър/FSC ESPRIMO C710";"броя";"0.000";"240";"0";"240";"390";"0";"62.5";"";"";"";"";"не";"";"";"200";"200";"";"0";"";"";"";"";"РИЪЛ ВИЖЪН ИТ ЕООД";"";"";"";"";"";"";"Компютри втора употр"
"Грешно";"Склад";"Материал";"43";"Касова книга А4 твърди корици";"броя";"0.000";"6.23";"0";"6.23";"10.5";"0";"68.53";"";"";"";"";"не";"02.04.2024  17:51:00";"";"5.19";"5.19";"";"0";"";"";"";"";"О ПЛЮС ЕООД";"";"";"";"";"";"";"Ролки"
"Грешно";"Склад";"Материал";"44";"Фискален принтер Daisy FX 1200C";"броя";"0.000";"0";"0";"0";"430.8";"0";"";"";"";"";"";"не";"28.07.2023  15:53:00";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Фискални принтери"
"Грешно";"Склад";"Материал";"50";"Търговска везна EVL LE1 3/6kg, 6/15kg, 15/30kg";"броя";"0.000";"336";"0";"336";"420";"0";"25";"";"";"";"";"не";"18.10.2024  15:30:29";"";"280";"280";"";"0";"";"";"";"";"ЕЛИКОМ ЕЛЕКТРОНИК -ГЕОРГИЕВ КД";"";"";"";"";"";"";"Електронни везни"
"Грешно";"Склад";"Материал";"51";"Съвместим тонер Hp17A";"броя";"0.000";"37.11";"0";"36";"72";"0";"94.01";"";"";"";"";"не";"06.04.2024  17:37:21";"";"30.93";"30";"";"0";"";"";"";"";"ЕЛИТ 79 ЕООД";"";"";"";"";"";"";"Тонери"
"Грешно";"Склад";"Материал";"52";"Касова книга А5";"броя";"0.000";"3.3";"0";"3.3";"5.9";"0";"78.78";"";"";"";"";"не";"29.03.2023  14:18:43";"";"2.75";"2.75";"";"0";"";"";"";"";"ЛЕТИЦИЯ 95-ЛУКА БЕНЕВ ЕТ";"";"";"";"";"";"";"Ролки"
"Грешно";"Склад";"Материал";"53";"Т57/65м. термохартиени ролки";"броя";"0.000";"1.3";"0";"1.3";"1.7";"0";"30.76";"";"";"";"";"не";"29.03.2023  14:18:44";"";"1.08";"1.08";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Ролки"
"Грешно";"Склад";"Материал";"56";"Харддиск 1tb seagate Video 3.5 HDD ST1000VX001";"броя";"0.000";"88.12";"0";"86.38";"115";"0";"30.5";"";"";"";"";"не";"06.04.2024  17:37:22";"";"73.44";"71.98";"";"0";"";"";"";"";"СисТех България ООД";"";"";"";"";"";"";"ХАРД ДИСКОВЕ"
"Грешно";"Склад";"Материал";"57";"Камера dome HDCVI, 1MP, 2.8mm S3";"броя";"0.000";"25.75";"0";"25.75";"45";"0";"74.75";"";"";"";"";"не";"26.08.2020  18:29:34";"";"21.46";"21.46";"";"0";"";"";"";"";"СисТех България ООД";"";"";"";"";"";"";"Камери hdcvi"
"Грешно";"Склад";"Материал";"58";"Захранващ блок MPS-060-A4";"броя";"0.000";"20.28";"0";"20.28";"29";"0";"42.99";"";"";"";"";"не";"06.04.2024  21:36:18";"";"16.9";"16.9";"";"0";"";"";"";"";"СисТех България ООД";"";"";"";"";"";"";"Захранвания и poe"
"Грешно";"Склад";"Материал";"59";"Видеорекордер 4ch Penta-brid XVR1B04";"броя";"0.000";"98.02";"0";"98.02";"139";"0";"41.8";"";"";"";"";"не";"02.12.2019  16:00:18";"";"81.68";"81.68";"";"0";"";"";"";"";"СисТех България ООД";"";"";"";"";"";"";"Записващи устройства"
"Грешно";"Склад";"Материал";"60";"Безжична Мишка OM-416W, синя";"броя";"0.000";"11";"0";"11";"22";"0";"100";"";"";"";"";"не";"06.04.2024  21:36:21";"";"9.17";"9.17";"";"0";"";"";"";"";"ЕТ ПАПЕКС-ВИКТОР ПАПАЗЯН";"";"";"";"";"";"";"Компоненти и части"
"Грешно";"Склад";"Материал";"62";"Кабелен канал 20*20";"броя";"0.000";"3.8";"0";"3.8";"4.5";"0";"18.42";"";"";"";"";"не";"20.04.2024  17:37:11";"";"3.17";"3.17";"";"0";"";"";"";"";"СТОРМ-63 - ООД";"";"";"";"";"";"";"Кутии и канали"
"Грешно";"Склад";"Материал";"63";"Кабелен канал 16*16";"броя";"0.000";"2.6";"0";"2.6";"5.2";"0";"100";"";"";"";"";"не";"06.04.2024  21:36:17";"";"2.17";"2.17";"";"0";"";"";"";"";"ПАШОВ КОМЕРС - ЕООД";"";"";"";"";"";"";"Кутии и канали"
"Грешно";"Склад";"Материал";"64";"Настройка везна";"броя";"0.000";"0";"0";"0";"25";"0";"";"";"";"";"";"не";"07.04.2024  9:43:21";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Склад";"Материал";"65";"MONITOR 17 LG 17MB15T-B/TOUCH SCREEN";"броя";"0.000";"403.68";"0";"403.68";"480";"0";"18.9";"";"";"";"";"не";"06.04.2024  21:26:16";"";"336.4";"336.4";"";"0";"";"";"";"";"СММ-97 ООД";"";"";"";"";"";"";"Монитори"
"Грешно";"Склад";"Материал";"66";"LAN SWITCH RP-1708K/8P 10/100";"броя";"0.000";"17.23";"0";"19.68";"25";"0";"45.09";"";"";"";"";"не";"06.04.2024  17:37:21";"";"14.35";"16.4";"";"0";"";"";"";"";"СММ-97 ООД";"";"";"";"";"";"";"Мрежови устройства"
